2021-06-30 18:06:300 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-30 18:06:410 INFO  HomePage :34 - Clicking on Bank Manager Login Link : [[ChromeDriver: chrome on WINDOWS (55031d202575d30f3dc31c4d37e146f4)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 18:06:488 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (55031d202575d30f3dc31c4d37e146f4)] -> xpath: //button[@ng-click='addCust()']]
2021-06-30 18:06:598 INFO  AddCustomerPage :27 - Enter FirstName : [[ChromeDriver: chrome on WINDOWS (55031d202575d30f3dc31c4d37e146f4)] -> xpath: //input[@placeholder='First Name']]
2021-06-30 18:06:692 INFO  AddCustomerPage :32 - Enter lastName : [[ChromeDriver: chrome on WINDOWS (55031d202575d30f3dc31c4d37e146f4)] -> xpath: //input[@placeholder='Last Name']]
2021-06-30 18:06:791 INFO  AddCustomerPage :37 - Enter Post Code : [[ChromeDriver: chrome on WINDOWS (55031d202575d30f3dc31c4d37e146f4)] -> xpath: //input[@placeholder='Post Code']]
2021-06-30 18:06:809 INFO  AddCustomerPage :41 - Click On Add Customer : [[ChromeDriver: chrome on WINDOWS (55031d202575d30f3dc31c4d37e146f4)] -> xpath: //button[text()='Add Customer']]
2021-06-30 18:06:817 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-30 18:06:630 INFO  HomePage :34 - Clicking on Bank Manager Login Link : [[ChromeDriver: chrome on WINDOWS (905f4a9c9bcb4538bad52eb4dd9da542)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 18:06:727 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (905f4a9c9bcb4538bad52eb4dd9da542)] -> xpath: //button[@ng-click='addCust()']]
2021-06-30 18:06:848 INFO  AddCustomerPage :27 - Enter FirstName : [[ChromeDriver: chrome on WINDOWS (905f4a9c9bcb4538bad52eb4dd9da542)] -> xpath: //input[@placeholder='First Name']]
2021-06-30 18:06:951 INFO  AddCustomerPage :32 - Enter lastName : [[ChromeDriver: chrome on WINDOWS (905f4a9c9bcb4538bad52eb4dd9da542)] -> xpath: //input[@placeholder='Last Name']]
2021-06-30 18:06:37 INFO  AddCustomerPage :37 - Enter Post Code : [[ChromeDriver: chrome on WINDOWS (905f4a9c9bcb4538bad52eb4dd9da542)] -> xpath: //input[@placeholder='Post Code']]
2021-06-30 18:06:58 INFO  AddCustomerPage :41 - Click On Add Customer : [[ChromeDriver: chrome on WINDOWS (905f4a9c9bcb4538bad52eb4dd9da542)] -> xpath: //button[text()='Add Customer']]
2021-06-30 18:06:232 INFO  BankManagerLoginPage :29 - Clicking on Open Account Button : [[ChromeDriver: chrome on WINDOWS (905f4a9c9bcb4538bad52eb4dd9da542)] -> xpath: //button[@ng-click='openAccount()']]
