2021-06-28 16:06:707 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 16:06:24 INFO  HomePage :34 - Clicking on Bank Manager Login Link : [[ChromeDriver: chrome on WINDOWS (182df9b45f92aef9f02a7b4f283f034f)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-28 16:06:456 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (182df9b45f92aef9f02a7b4f283f034f)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 16:06:721 INFO  AddCustomerPage :27 - Enter FirstName : [[ChromeDriver: chrome on WINDOWS (182df9b45f92aef9f02a7b4f283f034f)] -> xpath: //input[@placeholder='First Name']]
2021-06-28 16:06:800 INFO  AddCustomerPage :32 - Enter lastName : [[ChromeDriver: chrome on WINDOWS (182df9b45f92aef9f02a7b4f283f034f)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 16:06:893 INFO  AddCustomerPage :37 - Enter Post Code : [[ChromeDriver: chrome on WINDOWS (182df9b45f92aef9f02a7b4f283f034f)] -> xpath: //input[@placeholder='Post Code']]
2021-06-28 16:06:968 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (182df9b45f92aef9f02a7b4f283f034f)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 16:06:911 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 16:06:491 INFO  HomePage :34 - Clicking on Bank Manager Login Link : [[ChromeDriver: chrome on WINDOWS (0007087e699f0639a3d8a22860a4390a)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-28 16:06:737 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (0007087e699f0639a3d8a22860a4390a)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 16:06:30 INFO  AddCustomerPage :27 - Enter FirstName : [[ChromeDriver: chrome on WINDOWS (0007087e699f0639a3d8a22860a4390a)] -> xpath: //input[@placeholder='First Name']]
2021-06-28 16:06:121 INFO  AddCustomerPage :32 - Enter lastName : [[ChromeDriver: chrome on WINDOWS (0007087e699f0639a3d8a22860a4390a)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 16:06:214 INFO  AddCustomerPage :37 - Enter Post Code : [[ChromeDriver: chrome on WINDOWS (0007087e699f0639a3d8a22860a4390a)] -> xpath: //input[@placeholder='Post Code']]
2021-06-28 16:06:461 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (0007087e699f0639a3d8a22860a4390a)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 17:06:69 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 17:06:626 INFO  HomePage :34 - Clicking on Bank Manager Login Link : [[ChromeDriver: chrome on WINDOWS (d95aa6d33082760bd27efc0807bb756c)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-28 17:06:729 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (d95aa6d33082760bd27efc0807bb756c)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 17:06:879 INFO  AddCustomerPage :27 - Enter FirstName : [[ChromeDriver: chrome on WINDOWS (d95aa6d33082760bd27efc0807bb756c)] -> xpath: //input[@placeholder='First Name']]
2021-06-28 17:06:993 INFO  AddCustomerPage :32 - Enter lastName : [[ChromeDriver: chrome on WINDOWS (d95aa6d33082760bd27efc0807bb756c)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 17:06:109 INFO  AddCustomerPage :37 - Enter Post Code : [[ChromeDriver: chrome on WINDOWS (d95aa6d33082760bd27efc0807bb756c)] -> xpath: //input[@placeholder='Post Code']]
2021-06-28 17:06:170 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (d95aa6d33082760bd27efc0807bb756c)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 17:06:417 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 17:06:190 INFO  HomePage :34 - Clicking on Bank Manager Login Link : [[ChromeDriver: chrome on WINDOWS (1a7cd8f3337a4ff4f36bbffe6b577bac)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-28 17:06:291 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (1a7cd8f3337a4ff4f36bbffe6b577bac)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 17:06:407 INFO  AddCustomerPage :27 - Enter FirstName : [[ChromeDriver: chrome on WINDOWS (1a7cd8f3337a4ff4f36bbffe6b577bac)] -> xpath: //input[@placeholder='First Name']]
2021-06-28 17:06:510 INFO  AddCustomerPage :32 - Enter lastName : [[ChromeDriver: chrome on WINDOWS (1a7cd8f3337a4ff4f36bbffe6b577bac)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 17:06:603 INFO  AddCustomerPage :37 - Enter Post Code : [[ChromeDriver: chrome on WINDOWS (1a7cd8f3337a4ff4f36bbffe6b577bac)] -> xpath: //input[@placeholder='Post Code']]
2021-06-28 17:06:672 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (1a7cd8f3337a4ff4f36bbffe6b577bac)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 18:06:251 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 18:06:133 INFO  HomePage :34 - Clicking on Bank Manager Login Link : [[ChromeDriver: chrome on WINDOWS (0deac04a11fb831cd26686961a9c1ed2)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-28 18:06:238 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (0deac04a11fb831cd26686961a9c1ed2)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 18:06:381 INFO  AddCustomerPage :27 - Enter FirstName : [[ChromeDriver: chrome on WINDOWS (0deac04a11fb831cd26686961a9c1ed2)] -> xpath: //input[@placeholder='First Name']]
2021-06-28 18:06:493 INFO  AddCustomerPage :32 - Enter lastName : [[ChromeDriver: chrome on WINDOWS (0deac04a11fb831cd26686961a9c1ed2)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 18:06:597 INFO  AddCustomerPage :37 - Enter Post Code : [[ChromeDriver: chrome on WINDOWS (0deac04a11fb831cd26686961a9c1ed2)] -> xpath: //input[@placeholder='Post Code']]
2021-06-28 18:06:616 INFO  AddCustomerPage :41 - Click On Add Customer : [[ChromeDriver: chrome on WINDOWS (0deac04a11fb831cd26686961a9c1ed2)] -> xpath: //button[text()='Add Customer']]
2021-06-28 18:06:929 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 18:06:919 INFO  HomePage :34 - Clicking on Bank Manager Login Link : [[ChromeDriver: chrome on WINDOWS (54428bfa259b5e29b14e6d493056615c)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-28 18:06:11 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (54428bfa259b5e29b14e6d493056615c)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 18:06:141 INFO  AddCustomerPage :27 - Enter FirstName : [[ChromeDriver: chrome on WINDOWS (54428bfa259b5e29b14e6d493056615c)] -> xpath: //input[@placeholder='First Name']]
2021-06-28 18:06:242 INFO  AddCustomerPage :32 - Enter lastName : [[ChromeDriver: chrome on WINDOWS (54428bfa259b5e29b14e6d493056615c)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 18:06:354 INFO  AddCustomerPage :37 - Enter Post Code : [[ChromeDriver: chrome on WINDOWS (54428bfa259b5e29b14e6d493056615c)] -> xpath: //input[@placeholder='Post Code']]
2021-06-28 18:06:426 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (54428bfa259b5e29b14e6d493056615c)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 18:06:507 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 18:06:893 INFO  HomePage :34 - Clicking on Bank Manager Login Link : [[ChromeDriver: chrome on WINDOWS (1127bd1b1565e270180d7d87d61116a1)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-28 18:06:04 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (1127bd1b1565e270180d7d87d61116a1)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 18:06:169 INFO  AddCustomerPage :27 - Enter FirstName : [[ChromeDriver: chrome on WINDOWS (1127bd1b1565e270180d7d87d61116a1)] -> xpath: //input[@placeholder='First Name']]
2021-06-28 18:06:287 INFO  AddCustomerPage :32 - Enter lastName : [[ChromeDriver: chrome on WINDOWS (1127bd1b1565e270180d7d87d61116a1)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 18:06:401 INFO  AddCustomerPage :37 - Enter Post Code : [[ChromeDriver: chrome on WINDOWS (1127bd1b1565e270180d7d87d61116a1)] -> xpath: //input[@placeholder='Post Code']]
2021-06-28 18:06:436 INFO  AddCustomerPage :41 - Click On Add Customer : [[ChromeDriver: chrome on WINDOWS (1127bd1b1565e270180d7d87d61116a1)] -> xpath: //button[text()='Add Customer']]
2021-06-28 18:06:544 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 18:06:50 INFO  HomePage :34 - Clicking on Bank Manager Login Link : [[ChromeDriver: chrome on WINDOWS (f48f5053da1b0fdcbcc88a2537855227)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-28 18:06:180 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (f48f5053da1b0fdcbcc88a2537855227)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 18:06:311 INFO  AddCustomerPage :27 - Enter FirstName : [[ChromeDriver: chrome on WINDOWS (f48f5053da1b0fdcbcc88a2537855227)] -> xpath: //input[@placeholder='First Name']]
2021-06-28 18:06:424 INFO  AddCustomerPage :32 - Enter lastName : [[ChromeDriver: chrome on WINDOWS (f48f5053da1b0fdcbcc88a2537855227)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 18:06:525 INFO  AddCustomerPage :37 - Enter Post Code : [[ChromeDriver: chrome on WINDOWS (f48f5053da1b0fdcbcc88a2537855227)] -> xpath: //input[@placeholder='Post Code']]
2021-06-28 18:06:545 INFO  AddCustomerPage :41 - Click On Add Customer : [[ChromeDriver: chrome on WINDOWS (f48f5053da1b0fdcbcc88a2537855227)] -> xpath: //button[text()='Add Customer']]
2021-06-28 18:06:738 INFO  BankManagerLoginPage :29 - Clicking on Open Account Button : [[ChromeDriver: chrome on WINDOWS (f48f5053da1b0fdcbcc88a2537855227)] -> xpath: //button[@ng-click='openAccount()']]
2021-06-28 18:06:937 INFO  OpenAccountPage :25 - Enter Customer Name : [[ChromeDriver: chrome on WINDOWS (f48f5053da1b0fdcbcc88a2537855227)] -> xpath: //select[@id='userSelect']]
2021-06-28 18:06:94 INFO  OpenAccountPage :30 - Enter Currency : [[ChromeDriver: chrome on WINDOWS (f48f5053da1b0fdcbcc88a2537855227)] -> xpath: //select[@id='currency']]
2021-06-28 18:06:538 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 18:06:314 INFO  HomePage :34 - Clicking on Bank Manager Login Link : [[ChromeDriver: chrome on WINDOWS (74339e30fb0ec55a446f0a0d2a8d7736)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-28 18:06:429 INFO  BankManagerLoginPage :24 - Clicking on Add Customer Button : [[ChromeDriver: chrome on WINDOWS (74339e30fb0ec55a446f0a0d2a8d7736)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 18:06:577 INFO  AddCustomerPage :27 - Enter FirstName : [[ChromeDriver: chrome on WINDOWS (74339e30fb0ec55a446f0a0d2a8d7736)] -> xpath: //input[@placeholder='First Name']]
2021-06-28 18:06:702 INFO  AddCustomerPage :32 - Enter lastName : [[ChromeDriver: chrome on WINDOWS (74339e30fb0ec55a446f0a0d2a8d7736)] -> xpath: //input[@placeholder='Last Name']]
